ball0 : Ball
fields255 : Field
fields256 : Field
fields257 : Field
fields258 : Field
fields259 : Field
fields260 : Field
fields261 : Field
fields262 : Field
fields263 : Field
fields264 : Field
fields265 : Field
fields266 : Field
fields267 : Field
fields268 : Field
fields269 : Field
fields270 : Field
fields271 : Field
fields272 : Field
fields273 : Field
fields274 : Field
fields275 : Field
fields276 : Field
fields277 : Field
fields278 : Field
fields279 : Field
fields280 : Field
fields281 : Field
fields282 : Field
fields283 : Field
fields284 : Field
fields285 : Field
fields286 : Field
fields287 : Field
fields288 : Field
fields289 : Field
fields290 : Field
fields291 : Field
fields292 : Field
fields293 : Field
fields294 : Field
fields295 : Field
fields296 : Field
fields297 : Field
fields298 : Field
fields299 : Field
fields300 : Field
fields301 : Field
fields302 : Field
fields303 : Field
fields304 : Field
fields305 : Field
fields306 : Field
fields307 : Field
fields308 : Field
fields309 : Field
fields310 : Field
fields311 : Field
fields312 : Field
fields313 : Field
fields314 : Field
fields315 : Field
fields316 : Field
fields317 : Field
fields318 : Field
fields319 : Field
fields320 : Field
fields321 : Field
fields322 : Field
fields323 : Field
fields324 : Field
fields325 : Field
fields326 : Field
fields327 : Field
fields328 : Field
fields329 : Field
fields330 : Field
fields331 : Field
fields332 : Field
fields333 : Field
fields334 : Field
fields335 : Field
fields336 : Field
fields337 : Field
fields338 : Field
fields339 : Field
fields340 : Field
fields341 : Field
fields342 : Field
fields343 : Field
fields344 : Field
fields345 : Field
fields346 : Field
fields347 : Field
fields348 : Field
fields349 : Field
fields350 : Field
fields351 : Field
fields352 : Field
fields353 : Field
fields354 : Field
fields355 : Field
fields356 : Field
fields357 : Field
fields358 : Field
fields359 : Field
fields360 : Field
fields361 : Field
fields362 : Field
fields363 : Field
fields364 : Field
fields365 : Field
fields366 : Field
fields367 : Field
fields368 : Field
fields369 : Field
fields370 : Field
fields371 : Field
fields372 : Field
fields373 : Field
fields374 : Field
fields375 : Field
fields376 : Field
fields377 : Field
fields378 : Field
fields379 : Field
fields380 : Field
fields381 : Field
fields382 : Field
fields383 : Field
fields384 : Field
fields385 : Field
fields386 : Field
fields387 : Field
fields388 : Field
fields389 : Field
fields390 : Field
fields391 : Field
fields392 : Field
fields393 : Field
fields394 : Field
fields395 : Field
fields396 : Field
fields397 : Field
fields398 : Field
fields399 : Field
fields400 : Field
fields401 : Field
fields402 : Field
fields403 : Field
fields404 : Field
fields405 : Field
fields406 : Field
fields407 : Field
fields408 : Field
fields409 : Field
fields410 : Field
fields411 : Field
fields412 : Field
fields413 : Field
fields414 : Field
fields415 : Field
fields416 : Field
fields417 : Field
fields418 : Field
fields419 : Field
fields420 : Field
fields421 : Field
fields422 : Field
fields423 : Field
fields424 : Field
fields425 : Field
fields426 : Field
fields427 : Field
fields428 : Field
fields429 : Field
fields430 : Field
fields431 : Field
fields432 : Field
fields433 : Field
fields434 : Field
fields435 : Field
fields436 : Field
fields437 : Field
fields438 : Field
fields439 : Field
fields440 : Field
fields441 : Field
fields442 : Field
fields443 : Field
fields444 : Field
fields445 : Field
fields446 : Field
fields447 : Field
fields448 : Field
fields449 : Field
fields450 : Field
fields451 : Field
fields452 : Field
fields453 : Field
fields454 : Field
fields455 : Field
fields456 : Field
fields457 : Field
fields458 : Field
fields459 : Field
fields460 : Field
fields461 : Field
fields462 : Field
fields463 : Field
fields464 : Field
fields465 : Field
fields466 : Field
fields467 : Field
fields468 : Field
fields469 : Field
fields470 : Field
fields471 : Field
fields472 : Field
fields473 : Field
fields474 : Field
fields475 : Field
fields476 : Field
fields477 : Field
fields478 : Field
fields479 : Field
fields480 : Field
fields481 : Field
fields482 : Field
fields483 : Field
fields484 : Field
fields485 : Field
fields486 : Field
fields487 : Field
fields488 : Field
fields489 : Field
fields490 : Field
fields491 : Field
fields492 : Field
fields493 : Field
fields494 : Field
fields495 : Field
fields496 : Field
fields497 : Field
fields498 : Field
fields499 : Field
fields500 : Field
fields501 : Field
fields502 : Field
fields503 : Field
fields504 : Field
fields505 : Field
fields506 : Field
fields507 : Field
fields508 : Field
fields509 : Field
fields510 : Field
fields511 : Field
fields512 : Field
fields513 : Field
fields514 : Field
fields515 : Field
fields516 : Field
fields517 : Field
fields518 : Field
fields519 : Field
fields520 : Field
fields521 : Field
fields522 : Field
fields523 : Field
fields524 : Field
fields525 : Field
fields526 : Field
fields527 : Field
fields528 : Field
fields529 : Field
fields530 : Field
fields531 : Field
fields532 : Field
fields533 : Field
fields534 : Field
fields535 : Field
fields536 : Field
fields537 : Field
fields538 : Field
fields539 : Field
fields540 : Field
fields541 : Field
fields542 : Field
fields543 : Field
fields544 : Field
fields545 : Field
fields546 : Field
fields547 : Field
fields548 : Field
fields549 : Field
fields550 : Field
fields551 : Field
fields552 : Field
fields553 : Field
fields554 : Field
fields555 : Field
fields556 : Field
fields557 : Field
fields558 : Field
fields559 : Field
fields560 : Field
fields561 : Field
fields562 : Field
fields563 : Field
fields564 : Field
fields565 : Field
fields566 : Field
fields567 : Field
fields568 : Field
fields569 : Field
fields570 : Field
fields571 : Field
fields572 : Field
fields573 : Field
fields574 : Field
fields575 : Field
fields576 : Field
fields577 : Field
fields578 : Field
fields579 : Field
fields580 : Field
fields581 : Field
fields582 : Field
fields583 : Field
fields584 : Field
fields585 : Field
fields586 : Field
fields587 : Field
fields588 : Field
fields589 : Field
fields590 : Field
fields591 : Field
fields592 : Field
fields593 : Field
fields594 : Field
fields595 : Field
fields596 : Field
fields597 : Field
fields598 : Field
fields599 : Field
fields600 : Field
fields601 : Field
fields602 : Field
fields603 : Field
fields604 : Field
fields605 : Field
fields606 : Field
fields607 : Field
fields608 : Field
fields609 : Field
fields610 : Field
fields611 : Field
fields612 : Field
fields613 : Field
fields614 : Field
fields615 : Field
fields616 : Field
fields617 : Field
fields618 : Field
fields619 : Field
fields620 : Field
fields621 : Field
fields622 : Field
fields623 : Field
fields624 : Field
fields625 : Field
fields626 : Field
fields627 : Field
fields628 : Field
fields629 : Field
fields630 : Field
fields631 : Field
fields632 : Field
fields633 : Field
fields634 : Field
fields635 : Field
fields636 : Field
fields637 : Field
fields638 : Field
fields639 : Field
fields640 : Field
fields641 : Field
fields642 : Field
fields643 : Field
fields644 : Field
fields645 : Field
fields646 : Field
fields647 : Field
fields648 : Field
fields649 : Field
fields650 : Field
fields651 : Field
fields652 : Field
fields653 : Field
fields654 : Field
fields655 : Field
fields656 : Field
fields657 : Field
fields658 : Field
fields659 : Field
fields660 : Field
fields661 : Field
fields662 : Field
fields663 : Field
fields664 : Field
fields665 : Field
fields666 : Field
fields667 : Field
fields668 : Field
fields669 : Field
fields670 : Field
fields671 : Field
fields672 : Field
fields673 : Field
fields674 : Field
fields675 : Field
fields676 : Field
fields677 : Field
fields678 : Field
fields679 : Field
fields680 : Field
fields681 : Field
fields682 : Field
fields683 : Field
fields684 : Field
fields685 : Field
fields686 : Field
fields687 : Field
fields688 : Field
fields689 : Field
fields690 : Field
fields691 : Field
fields692 : Field
fields693 : Field
fields694 : Field
fields695 : Field
fields696 : Field
fields697 : Field
fields698 : Field
fields699 : Field
fields700 : Field
fields701 : Field
fields702 : Field
fields703 : Field
fields704 : Field
fields705 : Field
fields706 : Field
fields707 : Field
fields708 : Field
fields709 : Field
fields710 : Field
fields711 : Field
fields712 : Field
fields713 : Field
fields714 : Field
fields715 : Field
fields716 : Field
fields717 : Field
fields718 : Field
fields719 : Field
fields720 : Field
fields721 : Field
fields722 : Field
fields723 : Field
fields724 : Field
fields725 : Field
fields726 : Field
fields727 : Field
fields728 : Field
fields729 : Field
fields730 : Field
fields731 : Field
fields732 : Field
fields733 : Field
fields734 : Field
fields735 : Field
fields736 : Field
fields737 : Field
fields738 : Field
fields739 : Field
fields740 : Field
fields741 : Field
fields742 : Field
fields743 : Field
fields744 : Field
fields745 : Field
fields746 : Field
fields747 : Field
fields748 : Field
fields749 : Field
fields750 : Field
fields751 : Field
fields752 : Field
fields753 : Field
fields754 : Field
fields755 : Field
fields756 : Field
fields757 : Field
fields758 : Field
fields759 : Field
fields760 : Field
fields761 : Field
fields762 : Field
fields763 : Field
fields764 : Field
fields765 : Field
fields766 : Field
fields767 : Field
fields768 : Field
fields769 : Field
fields770 : Field
fields771 : Field
fields772 : Field
fields773 : Field
fields774 : Field
fields775 : Field
fields776 : Field
fields777 : Field
fields778 : Field
fields779 : Field
fields780 : Field
fields781 : Field
fields782 : Field
fields783 : Field
fields784 : Field
fields785 : Field
fields786 : Field
fields787 : Field
fields788 : Field
fields789 : Field
fields790 : Field
fields791 : Field
fields792 : Field
fields793 : Field
fields794 : Field
fields795 : Field
fields796 : Field
fields797 : Field
fields798 : Field
fields799 : Field
fields800 : Field
fields801 : Field
fields802 : Field
fields803 : Field
fields804 : Field
fields805 : Field
fields806 : Field
fields807 : Field
fields808 : Field
fields809 : Field
fields810 : Field
fields811 : Field
fields812 : Field
fields813 : Field
fields814 : Field
fields815 : Field
fields816 : Field
fields817 : Field
fields818 : Field
fields819 : Field
fields820 : Field
fields821 : Field
fields822 : Field
fields823 : Field
fields824 : Field
fields825 : Field
fields826 : Field
fields827 : Field
fields828 : Field
fields829 : Field
fields830 : Field
fields831 : Field
fields832 : Field
fields833 : Field
fields834 : Field
fields835 : Field
fields836 : Field
fields837 : Field
fields838 : Field
fields839 : Field
fields840 : Field
fields841 : Field
fields842 : Field
fields843 : Field
fields844 : Field
fields845 : Field
fields846 : Field
fields847 : Field
fields848 : Field
fields849 : Field
fields850 : Field
fields851 : Field
fields852 : Field
fields853 : Field
fields854 : Field
fields855 : Field
fields856 : Field
fields857 : Field
fields858 : Field
fields859 : Field
fields860 : Field
fields861 : Field
fields862 : Field
fields863 : Field
fields864 : Field
fields865 : Field
fields866 : Field
fields867 : Field
fields868 : Field
fields869 : Field
fields870 : Field
fields871 : Field
fields872 : Field
fields873 : Field
fields874 : Field
fields875 : Field
fields876 : Field
fields877 : Field
fields878 : Field
fields879 : Field
fields880 : Field
fields881 : Field
fields882 : Field
fields883 : Field
fields884 : Field
fields885 : Field
fields886 : Field
fields887 : Field
fields888 : Field
fields889 : Field
fields890 : Field
fields891 : Field
fields892 : Field
fields893 : Field
fields894 : Field
fields895 : Field
fields896 : Field
fields897 : Field
fields898 : Field
fields899 : Field
fields900 : Field
fields901 : Field
fields902 : Field
fields903 : Field
fields904 : Field
fields905 : Field
fields906 : Field
fields907 : Field
fields908 : Field
fields909 : Field
fields910 : Field
fields911 : Field
fields912 : Field
fields913 : Field
fields914 : Field
fields915 : Field
fields916 : Field
fields917 : Field
fields918 : Field
fields919 : Field
fields920 : Field
fields921 : Field
fields922 : Field
fields923 : Field
fields924 : Field
fields925 : Field
fields926 : Field
fields927 : Field
fields928 : Field
fields929 : Field
fields930 : Field
fields931 : Field
fields932 : Field
fields933 : Field
fields934 : Field
fields935 : Field
fields936 : Field
fields937 : Field
fields938 : Field
fields939 : Field
fields940 : Field
fields941 : Field
fields942 : Field
fields943 : Field
fields944 : Field
fields945 : Field
fields946 : Field
fields947 : Field
fields948 : Field
fields949 : Field
fields950 : Field
fields951 : Field
fields952 : Field
fields953 : Field
fields954 : Field
fields955 : Field
fields956 : Field
fields957 : Field
fields958 : Field
fields959 : Field
fields960 : Field
fields961 : Field
fields962 : Field
fields963 : Field
fields964 : Field
fields965 : Field
fields966 : Field
fields967 : Field
fields968 : Field
fields969 : Field
fields970 : Field
fields971 : Field
fields972 : Field
fields973 : Field
fields974 : Field
fields975 : Field
fields976 : Field
fields977 : Field
fields978 : Field
fields979 : Field
fields980 : Field
fields981 : Field
fields982 : Field
fields983 : Field
fields984 : Field
fields985 : Field
fields986 : Field
fields987 : Field
fields988 : Field
fields989 : Field
fields990 : Field
fields991 : Field
fields992 : Field
fields993 : Field
fields994 : Field
fields995 : Field
fields996 : Field
fields997 : Field
fields998 : Field
fields999 : Field
fields1000 : Field
fields1001 : Field
fields1002 : Field
fields1003 : Field
fields1004 : Field
fields1005 : Field
fields1006 : Field
fields1007 : Field
fields1008 : Field
fields1009 : Field
fields1010 : Field
fields1011 : Field
fields1012 : Field
fields1013 : Field
fields1014 : Field
fields1015 : Field
fields1016 : Field
fields1017 : Field
fields1018 : Field
fields1019 : Field
fields1020 : Field
fields1021 : Field
fields1022 : Field
fields1023 : Field
fields1024 : Field
fields1025 : Field
fields1026 : Field
fields1027 : Field
fields1028 : Field
fields1029 : Field
fields1030 : Field
fields1031 : Field
fields1032 : Field
fields1033 : Field
fields1034 : Field
fields1035 : Field
fields1036 : Field
fields1037 : Field
fields1038 : Field
fields1039 : Field
fields1040 : Field
fields1041 : Field
fields1042 : Field
fields1043 : Field
fields1044 : Field
fields1045 : Field
fields1046 : Field
fields1047 : Field
fields1048 : Field
fields1049 : Field
fields1050 : Field
fields1051 : Field
fields1052 : Field
fields1053 : Field
fields1054 : Field
fields1055 : Field
fields1056 : Field
fields1057 : Field
fields1058 : Field
fields1059 : Field
fields1060 : Field
fields1061 : Field
fields1062 : Field
fields1063 : Field
fields1064 : Field
fields1065 : Field
fields1066 : Field
fields1067 : Field
fields1068 : Field
fields1069 : Field
fields1070 : Field
fields1071 : Field
fields1072 : Field
fields1073 : Field
fields1074 : Field
fields1075 : Field
fields1076 : Field
fields1077 : Field
fields1078 : Field
fields1079 : Field
fields1080 : Field
fields1081 : Field
fields1082 : Field
fields1083 : Field
fields1084 : Field
fields1085 : Field
fields1086 : Field
fields1087 : Field
fields1088 : Field
fields1089 : Field
fields1090 : Field
fields1091 : Field
fields1092 : Field
fields1093 : Field
fields1094 : Field
fields1095 : Field
fields1096 : Field
fields1097 : Field
fields1098 : Field
fields1099 : Field
fields1100 : Field
fields1101 : Field
fields1102 : Field
fields1103 : Field
fields1104 : Field
fields1105 : Field
fields1106 : Field
fields1107 : Field
fields1108 : Field
fields1109 : GoalField
fields1110 : GoalField
fields1111 : GoalField
fields1112 : GoalField
fields1113 : GoalField
fields1114 : GoalField
fields1115 : GoalField
fields1116 : Field
fields1117 : Field
fields1118 : Field
fields1119 : Field
fields1120 : Field
fields1121 : Field
fields1122 : Field
fields1123 : Field
fields1124 : Field
players0 : GoalKeeper
players1 : GoalKeeper
players2 : FieldPlayer
players3 : FieldPlayer
players4 : FieldPlayer
players5 : FieldPlayer
players6 : FieldPlayer
players7 : FieldPlayer
players8 : FieldPlayer
players9 : FieldPlayer
players10 : FieldPlayer
players11 : FieldPlayer
players12 : FieldPlayer
players13 : FieldPlayer
players14 : FieldPlayer
players15 : FieldPlayer
players16 : FieldPlayer
players17 : FieldPlayer
players5 : ball0.player
ball0.field = fields684
fields1.yPos = 1
fields2.yPos = 2
fields3.yPos = 3
fields4.yPos = 4
fields5.yPos = 5
fields6.yPos = 6
fields7.yPos = 7
fields8.yPos = 8
fields9.yPos = 9
fields10.yPos = 10
fields11.yPos = 11
fields12.yPos = 12
players0 : fields12.players
fields13.yPos = 13
fields14.yPos = 14
fields15.yPos = 15
fields16.yPos = 16
fields17.yPos = 17
fields18.yPos = 18
fields19.yPos = 19
fields20.yPos = 20
fields21.yPos = 21
fields22.yPos = 22
fields23.yPos = 23
fields24.yPos = 24
fields25.xPos = 1
fields26.xPos = 1
fields26.yPos = 1
fields27.xPos = 1
fields27.yPos = 2
fields28.xPos = 1
fields28.yPos = 3
fields29.xPos = 1
fields29.yPos = 4
fields30.xPos = 1
fields30.yPos = 5
fields31.xPos = 1
fields31.yPos = 6
fields32.xPos = 1
fields32.yPos = 7
fields33.xPos = 1
fields33.yPos = 8
fields34.xPos = 1
fields34.yPos = 9
fields35.xPos = 1
fields35.yPos = 10
fields36.xPos = 1
fields36.yPos = 11
fields37.xPos = 1
fields37.yPos = 12
fields38.xPos = 1
fields38.yPos = 13
fields39.xPos = 1
fields39.yPos = 14
fields40.xPos = 1
fields40.yPos = 15
fields41.xPos = 1
fields41.yPos = 16
fields42.xPos = 1
fields42.yPos = 17
fields43.xPos = 1
fields43.yPos = 18
fields44.xPos = 1
fields44.yPos = 19
fields45.xPos = 1
fields45.yPos = 20
fields46.xPos = 1
fields46.yPos = 21
fields47.xPos = 1
fields47.yPos = 22
fields48.xPos = 1
fields48.yPos = 23
fields49.xPos = 1
fields49.yPos = 24
fields50.xPos = 2
fields51.xPos = 2
fields51.yPos = 1
fields52.xPos = 2
fields52.yPos = 2
fields53.xPos = 2
fields53.yPos = 3
fields54.xPos = 2
fields54.yPos = 4
fields55.xPos = 2
fields55.yPos = 5
fields56.xPos = 2
fields56.yPos = 6
fields57.xPos = 2
fields57.yPos = 7
fields58.xPos = 2
fields58.yPos = 8
fields59.xPos = 2
fields59.yPos = 9
fields60.xPos = 2
fields60.yPos = 10
fields61.xPos = 2
fields61.yPos = 11
fields62.xPos = 2
fields62.yPos = 12
fields63.xPos = 2
fields63.yPos = 13
fields64.xPos = 2
fields64.yPos = 14
fields65.xPos = 2
fields65.yPos = 15
fields66.xPos = 2
fields66.yPos = 16
fields67.xPos = 2
fields67.yPos = 17
fields68.xPos = 2
fields68.yPos = 18
fields69.xPos = 2
fields69.yPos = 19
fields70.xPos = 2
fields70.yPos = 20
fields71.xPos = 2
fields71.yPos = 21
fields72.xPos = 2
fields72.yPos = 22
fields73.xPos = 2
fields73.yPos = 23
fields74.xPos = 2
fields74.yPos = 24
fields75.xPos = 3
fields76.xPos = 3
fields76.yPos = 1
fields77.xPos = 3
fields77.yPos = 2
fields78.xPos = 3
fields78.yPos = 3
fields79.xPos = 3
fields79.yPos = 4
fields80.xPos = 3
fields80.yPos = 5
fields81.xPos = 3
fields81.yPos = 6
fields82.xPos = 3
fields82.yPos = 7
fields83.xPos = 3
fields83.yPos = 8
fields84.xPos = 3
fields84.yPos = 9
fields85.xPos = 3
fields85.yPos = 10
fields86.xPos = 3
fields86.yPos = 11
fields87.xPos = 3
fields87.yPos = 12
fields88.xPos = 3
fields88.yPos = 13
fields89.xPos = 3
fields89.yPos = 14
fields90.xPos = 3
fields90.yPos = 15
fields91.xPos = 3
fields91.yPos = 16
fields92.xPos = 3
fields92.yPos = 17
fields93.xPos = 3
fields93.yPos = 18
fields94.xPos = 3
fields94.yPos = 19
fields95.xPos = 3
fields95.yPos = 20
fields96.xPos = 3
fields96.yPos = 21
fields97.xPos = 3
fields97.yPos = 22
fields98.xPos = 3
fields98.yPos = 23
fields99.xPos = 3
fields99.yPos = 24
fields100.xPos = 4
fields101.xPos = 4
fields101.yPos = 1
fields102.xPos = 4
fields102.yPos = 2
fields103.xPos = 4
fields103.yPos = 3
fields104.xPos = 4
fields104.yPos = 4
fields105.xPos = 4
fields105.yPos = 5
fields106.xPos = 4
fields106.yPos = 6
fields107.xPos = 4
fields107.yPos = 7
fields108.xPos = 4
fields108.yPos = 8
fields109.xPos = 4
fields109.yPos = 9
fields110.xPos = 4
fields110.yPos = 10
fields111.xPos = 4
fields111.yPos = 11
fields112.xPos = 4
fields112.yPos = 12
fields113.xPos = 4
fields113.yPos = 13
fields114.xPos = 4
fields114.yPos = 14
fields115.xPos = 4
fields115.yPos = 15
fields116.xPos = 4
fields116.yPos = 16
fields117.xPos = 4
fields117.yPos = 17
fields118.xPos = 4
fields118.yPos = 18
fields119.xPos = 4
fields119.yPos = 19
fields120.xPos = 4
fields120.yPos = 20
fields121.xPos = 4
fields121.yPos = 21
fields122.xPos = 4
fields122.yPos = 22
fields123.xPos = 4
fields123.yPos = 23
fields124.xPos = 4
fields124.yPos = 24
fields125.xPos = 5
fields126.xPos = 5
fields126.yPos = 1
fields127.xPos = 5
fields127.yPos = 2
fields128.xPos = 5
fields128.yPos = 3
fields129.xPos = 5
fields129.yPos = 4
fields130.xPos = 5
fields130.yPos = 5
fields131.xPos = 5
fields131.yPos = 6
fields132.xPos = 5
fields132.yPos = 7
fields133.xPos = 5
fields133.yPos = 8
fields134.xPos = 5
fields134.yPos = 9
fields135.xPos = 5
fields135.yPos = 10
fields136.xPos = 5
fields136.yPos = 11
fields137.xPos = 5
fields137.yPos = 12
fields138.xPos = 5
fields138.yPos = 13
fields139.xPos = 5
fields139.yPos = 14
fields140.xPos = 5
fields140.yPos = 15
fields141.xPos = 5
fields141.yPos = 16
fields142.xPos = 5
fields142.yPos = 17
fields143.xPos = 5
fields143.yPos = 18
fields144.xPos = 5
fields144.yPos = 19
fields145.xPos = 5
fields145.yPos = 20
fields146.xPos = 5
fields146.yPos = 21
fields147.xPos = 5
fields147.yPos = 22
fields148.xPos = 5
fields148.yPos = 23
fields149.xPos = 5
fields149.yPos = 24
fields150.xPos = 6
fields151.xPos = 6
fields151.yPos = 1
fields152.xPos = 6
fields152.yPos = 2
fields153.xPos = 6
fields153.yPos = 3
fields154.xPos = 6
fields154.yPos = 4
fields155.xPos = 6
fields155.yPos = 5
fields156.xPos = 6
fields156.yPos = 6
fields157.xPos = 6
fields157.yPos = 7
fields158.xPos = 6
fields158.yPos = 8
fields159.xPos = 6
fields159.yPos = 9
fields160.xPos = 6
fields160.yPos = 10
fields161.xPos = 6
fields161.yPos = 11
fields162.xPos = 6
fields162.yPos = 12
fields163.xPos = 6
fields163.yPos = 13
fields164.xPos = 6
fields164.yPos = 14
fields165.xPos = 6
fields165.yPos = 15
fields166.xPos = 6
fields166.yPos = 16
fields167.xPos = 6
fields167.yPos = 17
fields168.xPos = 6
fields168.yPos = 18
fields169.xPos = 6
fields169.yPos = 19
fields170.xPos = 6
fields170.yPos = 20
fields171.xPos = 6
fields171.yPos = 21
fields172.xPos = 6
fields172.yPos = 22
fields173.xPos = 6
fields173.yPos = 23
fields174.xPos = 6
fields174.yPos = 24
fields175.xPos = 7
fields176.xPos = 7
fields176.yPos = 1
fields177.xPos = 7
fields177.yPos = 2
fields178.xPos = 7
fields178.yPos = 3
fields179.xPos = 7
fields179.yPos = 4
fields180.xPos = 7
fields180.yPos = 5
fields181.xPos = 7
fields181.yPos = 6
fields182.xPos = 7
fields182.yPos = 7
fields183.xPos = 7
fields183.yPos = 8
fields184.xPos = 7
fields184.yPos = 9
fields185.xPos = 7
fields185.yPos = 10
fields186.xPos = 7
fields186.yPos = 11
fields187.xPos = 7
fields187.yPos = 12
fields188.xPos = 7
fields188.yPos = 13
fields189.xPos = 7
fields189.yPos = 14
fields190.xPos = 7
fields190.yPos = 15
fields191.xPos = 7
fields191.yPos = 16
fields192.xPos = 7
fields192.yPos = 17
fields193.xPos = 7
fields193.yPos = 18
fields194.xPos = 7
fields194.yPos = 19
fields195.xPos = 7
fields195.yPos = 20
fields196.xPos = 7
fields196.yPos = 21
fields197.xPos = 7
fields197.yPos = 22
fields198.xPos = 7
fields198.yPos = 23
fields199.xPos = 7
fields199.yPos = 24
fields200.xPos = 8
fields201.xPos = 8
fields201.yPos = 1
fields202.xPos = 8
fields202.yPos = 2
fields203.xPos = 8
fields203.yPos = 3
fields204.xPos = 8
fields204.yPos = 4
fields205.xPos = 8
fields205.yPos = 5
fields206.xPos = 8
fields206.yPos = 6
fields207.xPos = 8
fields207.yPos = 7
fields208.xPos = 8
fields208.yPos = 8
fields209.xPos = 8
fields209.yPos = 9
fields210.xPos = 8
fields210.yPos = 10
fields211.xPos = 8
fields211.yPos = 11
fields212.xPos = 8
fields212.yPos = 12
fields213.xPos = 8
fields213.yPos = 13
fields214.xPos = 8
fields214.yPos = 14
fields215.xPos = 8
fields215.yPos = 15
fields216.xPos = 8
fields216.yPos = 16
fields217.xPos = 8
fields217.yPos = 17
fields218.xPos = 8
fields218.yPos = 18
fields219.xPos = 8
fields219.yPos = 19
fields220.xPos = 8
fields220.yPos = 20
fields221.xPos = 8
fields221.yPos = 21
fields222.xPos = 8
fields222.yPos = 22
fields223.xPos = 8
fields223.yPos = 23
fields224.xPos = 8
fields224.yPos = 24
